RprtDt,StateCd,Number of plan reassessments,Questionnaire,Indicator number,Indicator description,percentage Baseline,percentage Reassessment 1,percentage Reassessment 2,percentage Reassessment 3,percentage Reassessment 4,percentage Reassessment 5,percentage Reassessment 6,percentage Reassessment 7,percentage Reassessment 8
31/12/2024,ACT,1,Participant 15 to 24,9,% who feel safe or very safe in their home,0.87,0.86,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 15 to 24,10,"% who rate their health as good, very good or excellent",0.59,0.56,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 15 to 24,11,% who did not have any difficulties accessing health services,0.64,0.68,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 15 to 24,12,% who currently attend or previously attended school in a mainstream class,0.73,0.71,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 15 to 24,13,% who have a paid job,0.20,0.23,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 15 to 24,14,% who volunteer,0.13,0.13,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 15 to 24,15,Has the NDIS helped you have more choices and more control over your life?,na,0.71,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 15 to 24,16,Has the NDIS helped you with daily living activities?,na,0.69,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 15 to 24,17,Has the NDIS helped you to meet more people?,na,0.54,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 15 to 24,18,Has your involvement with the NDIS helped you to choose a home that's right for you?,na,0.35,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 15 to 24,19,Has your involvement with the NDIS improved your health and wellbeing?,na,0.63,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 15 to 24,20,Has your involvement with the NDIS helped you to learn things you want to learn or to take courses you want to take?,na,0.38,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 15 to 24,21,Has your involvement with the NDIS helped you find a job that's right for you?,na,0.23,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 15 to 24,22,Has the NDIS helped you be more involved?,na,0.54,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 15 to 24,1,% who are happy with the level of independence/control they have now,0.29,0.31,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 15 to 24,2,% who choose who supports them,0.35,0.36,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 15 to 24,3,% who choose what they do each day,0.44,0.46,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 15 to 24,4,% who had been given the opportunity to participate in a self-advocacy group meeting,0.18,0.18,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 15 to 24,5,% who want more choice and control in their life,0.79,0.85,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 15 to 24,6,% with no friends other than family or paid staff,0.34,0.34,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 15 to 24,7,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.30,0.33,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 15 to 24,8,% who are happy with their home,0.81,0.81,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 15 to 24,9,% who feel safe or very safe in their home,0.83,0.83,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 15 to 24,10,"% who rate their health as good, very good or excellent",0.68,0.67,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 15 to 24,11,% who did not have any difficulties accessing health services,0.71,0.72,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 15 to 24,12,% who currently attend or previously attended school in a mainstream class,0.45,0.43,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 15 to 24,13,% who have a paid job,0.14,0.18,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 15 to 24,14,% who volunteer,0.08,0.09,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 15 to 24,15,Has the NDIS helped you have more choices and more control over your life?,na,0.66,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 15 to 24,16,Has the NDIS helped you with daily living activities?,na,0.65,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 15 to 24,17,Has the NDIS helped you to meet more people?,na,0.50,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 15 to 24,18,Has your involvement with the NDIS helped you to choose a home that's right for you?,na,0.25,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 15 to 24,19,Has your involvement with the NDIS improved your health and wellbeing?,na,0.49,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 15 to 24,20,Has your involvement with the NDIS helped you to learn things you want to learn or to take courses you want to take?,na,0.38,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 15 to 24,21,Has your involvement with the NDIS helped you find a job that's right for you?,na,0.22,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant 15 to 24,22,Has the NDIS helped you be more involved?,na,0.57,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 15 to 24,1,% who are happy with the level of independence/control they have now,0.29,0.30,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 15 to 24,2,% who choose who supports them,0.32,0.32,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 15 to 24,3,% who choose what they do each day,0.42,0.42,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 15 to 24,4,% who had been given the opportunity to participate in a self-advocacy group meeting,0.19,0.19,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 15 to 24,5,% who want more choice and control in their life,0.80,0.86,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 15 to 24,6,% with no friends other than family or paid staff,0.33,0.32,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 15 to 24,7,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.30,0.34,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 15 to 24,8,% who are happy with their home,0.82,0.83,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 15 to 24,9,% who feel safe or very safe in their home,0.85,0.85,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 15 to 24,10,"% who rate their health as good, very good or excellent",0.68,0.67,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 15 to 24,11,% who did not have any difficulties accessing health services,0.71,0.72,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 15 to 24,12,% who currently attend or previously attended school in a mainstream class,0.43,0.41,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 15 to 24,13,% who have a paid job,0.11,0.17,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 15 to 24,14,% who volunteer,0.06,0.06,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 15 to 24,15,Has the NDIS helped you have more choices and more control over your life?,na,0.64,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 15 to 24,16,Has the NDIS helped you with daily living activities?,na,0.62,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 15 to 24,17,Has the NDIS helped you to meet more people?,na,0.49,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 15 to 24,18,Has your involvement with the NDIS helped you to choose a home that's right for you?,na,0.24,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 15 to 24,19,Has your involvement with the NDIS improved your health and wellbeing?,na,0.45,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 15 to 24,20,Has your involvement with the NDIS helped you to learn things you want to learn or to take courses you want to take?,na,0.37,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 15 to 24,21,Has your involvement with the NDIS helped you find a job that's right for you?,na,0.22,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 15 to 24,22,Has the NDIS helped you be more involved?,na,0.54,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 15 to 24,1,% who are happy with the level of independence/control they have now,0.17,0.18,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 15 to 24,2,% who choose who supports them,0.36,0.35,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 15 to 24,3,% who choose what they do each day,0.38,0.39,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 15 to 24,4,% who had been given the opportunity to participate in a self-advocacy group meeting,0.11,0.09,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 15 to 24,5,% who want more choice and control in their life,0.79,0.86,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 15 to 24,6,% with no friends other than family or paid staff,0.31,0.30,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 15 to 24,7,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.30,0.37,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 15 to 24,8,% who are happy with their home,0.76,0.74,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 15 to 24,9,% who feel safe or very safe in their home,0.83,0.78,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 15 to 24,10,"% who rate their health as good, very good or excellent",0.72,0.65,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 15 to 24,11,% who did not have any difficulties accessing health services,0.76,0.73,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 15 to 24,12,% who currently attend or previously attended school in a mainstream class,0.38,0.40,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 15 to 24,13,% who have a paid job,0.10,0.14,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 15 to 24,14,% who volunteer,0.09,0.04,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 15 to 24,15,Has the NDIS helped you have more choices and more control over your life?,na,0.61,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 15 to 24,16,Has the NDIS helped you with daily living activities?,na,0.60,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 15 to 24,17,Has the NDIS helped you to meet more people?,na,0.42,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 15 to 24,18,Has your involvement with the NDIS helped you to choose a home that's right for you?,na,0.32,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 15 to 24,19,Has your involvement with the NDIS improved your health and wellbeing?,na,0.45,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 15 to 24,20,Has your involvement with the NDIS helped you to learn things you want to learn or to take courses you want to take?,na,0.37,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 15 to 24,21,Has your involvement with the NDIS helped you find a job that's right for you?,na,0.20,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 15 to 24,22,Has the NDIS helped you be more involved?,na,0.49,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 15 to 24,1,% who are happy with the level of independence/control they have now,0.30,0.32,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 15 to 24,2,% who choose who supports them,0.34,0.37,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 15 to 24,3,% who choose what they do each day,0.43,0.45,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 15 to 24,4,% who had been given the opportunity to participate in a self-advocacy group meeting,0.18,0.18,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 15 to 24,5,% who want more choice and control in their life,0.81,0.86,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 15 to 24,6,% with no friends other than family or paid staff,0.35,0.35,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 15 to 24,7,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.31,0.36,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 15 to 24,8,% who are happy with their home,0.81,0.80,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 15 to 24,9,% who feel safe or very safe in their home,0.83,0.83,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 15 to 24,10,"% who rate their health as good, very good or excellent",0.68,0.67,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 15 to 24,11,% who did not have any difficulties accessing health services,0.69,0.71,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 15 to 24,12,% who currently attend or previously attended school in a mainstream class,0.37,0.36,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 15 to 24,13,% who have a paid job,0.16,0.19,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 15 to 24,14,% who volunteer,0.09,0.10,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 15 to 24,15,Has the NDIS helped you have more choices and more control over your life?,na,0.71,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 15 to 24,16,Has the NDIS helped you with daily living activities?,na,0.70,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 15 to 24,17,Has the NDIS helped you to meet more people?,na,0.57,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 15 to 24,18,Has your involvement with the NDIS helped you to choose a home that's right for you?,na,0.28,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 15 to 24,19,Has your involvement with the NDIS improved your health and wellbeing?,na,0.54,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 15 to 24,20,Has your involvement with the NDIS helped you to learn things you want to learn or to take courses you want to take?,na,0.42,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 15 to 24,21,Has your involvement with the NDIS helped you find a job that's right for you?,na,0.23,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 15 to 24,22,Has the NDIS helped you be more involved?,na,0.64,na,na,na,na,na,na,na
